EpochTime,skewed_latitude,skewed_longitude,smell_value,smell_description,feelings_symptoms,additional_comments,zipcode
1464760072,40.4631,-79.9443,4,,,,15224
1464793985,40.4492,-79.9513,1,,,,15213
1464899345,40.4429,-79.9448,3,Steel mill and burned smell,,,15213
1464900664,40.4475,-79.9521,4,tar smell near CMU - yuck,,,15213
1464977877,40.4294,-79.9553,4,"Burning metal, maybe welding",,,15213
1465313151,40.4443,-79.9477,2,,,,15213
1465487684,40.4386,-79.9876,4,asphalt plant. ,,,15219
1466104632,40.4431,-79.9466,1,,,,15213
1466104704,40.4429,-79.9445,2,test Bes,,,15213
1466104780,40.4442,-79.9445,3,test - Bea,,,15213
1466116818,40.467,-79.9235,5,test Bea,,,15206
1466516145,40.4321,-79.8924,1,,,,15218
1466649903,40.4223,-79.9236,1,,,,15217
1466793458,40.4432,-79.9478,1,,,,15213
1467270056,40.4212,-79.9193,4,"sulfur, rotten eggs",woke me up. had to close Windows,,15217
1467289865,40.4218,-79.9263,4,"Ackrid, industrial smell. Smells like Clairton Coke Works.",stuffy nose,,15217
1467291203,40.4637,-79.9306,5,Coke pollution,,,15206
1467299391,40.4438,-79.9915,2,"slight tar, asphalt smell",,,15219
1467300952,40.421,-79.9239,5,"pervasive, horrible, acrid, industrial stench that has invaded every room in our house. no escape!","sore throat, mild headache",,15217
1467369348,40.4698,-79.9245,4,Coke pollution,,,15206
1467375442,40.4211,-79.9184,4,burning sulfur ,,,15217
1467533950,40.4225,-79.9212,4,sulfur,woke me up. had to close the windows.,,15217
1467652909,40.4212,-79.9195,3,sulfur,,,15217
1467655653,40.4704,-79.9265,3,,,,15206
1468088355,40.4785,-79.9565,3,smells like burning tires,,,15201
1468239644,40.4203,-79.9198,3,burned,,,15217
1468242658,40.4227,-79.9258,2,,,,15217
1468307040,40.422,-79.9189,4,sulfur,,,15217
1468331887,40.4214,-79.924,3,acrid combustion smell,,,15217
1468354172,40.4626,-79.932,3,,,,15206
1468765292,40.42,-79.9257,3,slight industrial smell,,,15217
1468848213,40.4313,-79.9965,4,chalky burning,,,15219
1469020635,40.4276,-79.8847,1,ok - initial app test,,,15218
1469100127,40.4225,-79.9235,4,strong industrial smell of Clairton iCoke Works? n the air. Kept me from jogging.,,,15217
1469100338,40.4696,-79.9272,5,intense Coke pollution,headache,,15206
1469101557,40.4228,-79.9213,5,sulfur,short breath,,15217
1469103550,40.4207,-79.9262,5,Smells so bad I can nearly taste it! Unbearable!!,,,15217
1469198345,40.4405,-79.9478,1,,,"{""additional_comments"":null,""tags"":[""odor""],""img"":{}}",15213
1469198658,40.4212,-79.923,2,Intermittent metallic smell in Squirrel Hill.,,,15217
1469207437,40.4213,-79.9246,4,"Smell got bad as soon as the rain departed. Horrible, industrial smell.",congestion ,,15217
1469211466,40.4294,-79.8824,1,android alpha test,,,15218
1469211934,40.4266,-79.8821,1,Android alpha test 3,,,15218
1469213467,40.4287,-79.8835,1,Android test #5 - non-alpha 0.0.2 - tablet 5.x.x os,,,15218
1469215124,40.4286,-79.8848,1,android test #6 - alpha 0.0.1 - samsung victory,,,15218
1469277960,40.4284,-79.8829,1,samsung victory w/alpha app loc. test,,,15218
1469417649,40.4688,-79.9257,3,,,,15206
1469623923,40.4287,-79.8843,1,app test,,,15218
1469707378,40.4228,-79.9191,2,,,,15217
1469744953,40.4228,-79.9205,3,sulfur,,,15217
1469745487,40.4691,-79.9245,2,,,,15206
1469813616,40.4547,-79.9822,4,diesel exhaust and railroad tar,,,15222
1469924346,40.4476,-79.9144,1,,,,15206
1469978267,40.4711,-79.9595,4,smells like burning tires,,,15201
1470002575,40.448,-79.9147,1,,,,15206
1470096353,40.4468,-79.9169,1,,,,15206
1470168764,40.4744,-79.9596,1,,,,15201
1470231212,40.431400000000004,-79.8939,3,,,,15218
1470231320,40.4435,-80.0007,4,sulfur. winds ESE. folks noticed it at 6:45. ,,,15222
1470327309,40.4431,-80.0081,3,sulfury. winds se 6 mph ,,,15222
1470393676,40.4225,-79.9226,5,"smells like Clairton Coke works. Acrid, sulfurous, toxic brew. It was so bad that it woke me up and j had to close all the windows.",stuffy nose,,15217
1470397469,40.4269,-79.8826,3,clairton coal,,,15218
1470398127,40.4687,-79.9254,3,,,,15206
