DateTime,smell_1,smell_2,smell_3,3.feed_28.H2S_PPM,3.feed_28.SO2_PPM,3.feed_28.SIGTHETA_DEG,3.feed_28.SONICWD_DEG,3.feed_28.SONICWS_MPH,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3,3.feed_3508.PM2_5
2016-11-05 04:00:00+00:00,industrial,,,0.005,0.004,20.5,321.0,1.6,27.0,18.0,20.0
2016-11-13 19:00:00+00:00,,,,0.001,0.001,37.1,239.0,4.9,1.0,0.0,0.0
2017-02-11 10:00:00+00:00,egg,,,0.018,0.03,12.2,206.0,7.3,49.0,27.0,34.0
2017-04-21 21:00:00+00:00,industrial,,,0.0,0.001,26.6,277.0,9.5,6.0,7.0,6.0
2017-04-30 02:00:00+00:00,industrial,,,0.0,0.002,18.1,20.0,7.4,14.0,9.0,8.0
2017-05-01 02:00:00+00:00,,,,0.003,0.009,15.7,190.0,2.9,36.0,21.0,21.0
2017-05-19 23:00:00+00:00,,,,0.0,0.001,18.4,351.0,6.3,20.0,12.0,12.0
2017-05-27 06:00:00+00:00,smoke,industrial,,0.013,0.015,35.6,176.0,1.9,37.0,23.0,23.0
2017-06-03 03:00:00+00:00,egg,,,0.025,0.032,25.7,208.0,4.0,62.0,33.0,30.0
2017-06-30 16:00:00+00:00,egg,sewage,,0.001,0.0,16.7,235.0,8.3,14.0,7.0,7.0
2017-08-01 12:00:00+00:00,coke,industrial,,0.009,0.006,47.1,117.0,0.9,61.0,38.0,34.0
2017-09-25 05:00:00+00:00,industrial,,,0.001,0.0,44.3,75.0,0.6,18.0,14.0,15.0
2017-09-26 07:00:00+00:00,industrial,,,0.028,0.022,31.9,178.0,1.6,116.0,68.0,76.0
2017-11-03 17:00:00+00:00,egg,,,0.001,0.0,22.4,325.0,7.8,0.0,1.0,1.0
2018-01-07 07:00:00+00:00,,,,0.019,0.02,12.0,200.0,3.2,84.0,52.0,64.0
2018-01-22 17:00:00+00:00,industrial,chemical,,0.008,0.009,17.8,183.0,6.0,22.0,13.0,17.0
2018-01-27 06:00:00+00:00,industrial,,,0.014,0.023,13.7,177.0,3.4,50.0,27.0,34.0
2018-02-28 03:00:00+00:00,industrial,chemical,,0.012,0.027,63.0,224.0,1.2,44.0,20.0,25.0
2018-08-24 22:00:00+00:00,sulfur,,,0.001,0.001,24.3,184.0,4.8,12.0,9.0,9.0
2018-10-19 13:00:00+00:00,egg,industrial,,0.006,0.003,62.4,159.0,1.0,40.0,34.0,22.0
2019-01-15 19:00:00+00:00,sulfur,,,0.001,0.0,16.3,227.0,8.4,13.0,19.0,9.0
2019-02-04 16:00:00+00:00,,,,-1.0,-1.0,12.9,194.0,6.6,65.0,79.0,65.0
2019-02-04 17:00:00+00:00,sulfur,,,0.01,0.044,18.0,186.0,6.1,38.0,73.0,39.0
2019-02-05 19:00:00+00:00,,,,0.0,0.002,20.0,334.0,5.4,27.0,3.0,-1.0
2019-02-06 20:00:00+00:00,,,,0.0,0.002,58.7,157.0,2.1,8.0,13.0,5.0
2019-02-07 16:00:00+00:00,gas,,,0.0,0.002,26.4,94.0,2.6,7.0,12.0,2.0
2019-02-10 19:00:00+00:00,industrial,,,0.0,0.002,27.8,102.0,2.7,10.0,11.0,5.0
2019-02-11 04:00:00+00:00,,,,0.0,0.003,16.7,185.0,2.9,13.0,21.0,14.0
2019-02-11 04:00:00+00:00,sulfur,industrial,,0.0,0.003,16.7,185.0,2.9,13.0,21.0,14.0
2019-02-13 03:00:00+00:00,,,,0.0,0.0,12.0,240.0,15.7,5.0,5.0,4.0
2019-02-13 11:00:00+00:00,,,,0.0,0.0,16.5,245.0,14.2,3.0,1.0,4.0
2019-02-16 03:00:00+00:00,,,,0.0,0.002,17.4,301.0,7.8,13.0,2.0,9.0
2019-02-16 03:00:00+00:00,,,,0.0,0.002,17.4,301.0,7.8,13.0,2.0,9.0
2019-02-24 19:00:00+00:00,coke,industrial,gas,0.001,0.006,17.5,257.0,22.7,17.0,2.0,12.0
2019-02-26 16:00:00+00:00,industrial,,,-1.0,-1.0,35.9,262.0,4.7,-1.0,-1.0,-1.0
2019-02-26 20:00:00+00:00,industrial,,,0.001,0.001,40.2,297.0,5.5,-1.0,-1.0,-1.0
2019-02-27 11:00:00+00:00,industrial,,,0.002,0.0,12.0,39.0,5.3,-1.0,5.0,-1.0
2019-03-08 21:00:00+00:00,industrial,,,0.0,0.0,20.4,118.0,4.4,11.0,7.0,7.0
2019-03-10 13:00:00+00:00,,,,0.006,0.027,19.6,194.0,8.7,27.0,24.0,24.0
2019-03-13 18:00:00+00:00,,,,0.004,0.027,20.5,180.0,5.5,42.0,32.0,32.0
2019-03-14 13:00:00+00:00,burning,industrial,,0.002,0.003,46.5,171.0,1.2,18.0,18.0,18.0
2019-03-15 12:00:00+00:00,industrial,,,0.001,0.0,14.6,246.0,8.0,9.0,-1.0,-1.0
2019-03-16 13:00:00+00:00,,,,0.0,0.0,16.8,248.0,10.4,4.0,2.0,2.0
2019-03-19 23:00:00+00:00,burning,industrial,,0.0,0.002,28.4,251.0,5.2,7.0,9.0,9.0
2019-03-20 23:00:00+00:00,burning,industrial,,0.003,0.007,21.2,176.0,6.4,17.0,12.0,12.0
2019-03-24 13:00:00+00:00,sulfur,,,0.016,0.019,45.8,189.0,1.5,99.0,75.0,75.0
2019-04-02 19:00:00+00:00,burning,industrial,,0.001,0.009,32.3,203.0,5.6,15.0,15.0,15.0
2019-04-04 15:00:00+00:00,industrial,,,0.002,0.005,24.9,252.0,4.4,20.0,14.0,14.0
2019-04-08 09:00:00+00:00,sulfur,,,0.0,0.002,13.2,230.0,7.5,5.0,11.0,11.0
2019-04-08 23:00:00+00:00,chemical,,,0.0,0.0,19.5,265.0,5.6,10.0,5.0,5.0
2019-04-09 02:00:00+00:00,sulfur,,,0.0,0.001,7.1,222.0,5.1,11.0,6.0,6.0
2019-04-10 10:00:00+00:00,industrial,chemical,,0.005,0.004,22.4,326.0,2.9,15.0,24.0,24.0
2019-04-12 16:00:00+00:00,sulfur,burning,industrial,0.0,0.003,19.3,182.0,14.5,41.0,13.0,13.0
2019-04-17 21:00:00+00:00,sulfur,,,0.0,0.001,24.1,225.0,6.0,11.0,7.0,7.0
2019-04-19 06:00:00+00:00,industrial,,,0.003,0.012,19.7,187.0,6.5,33.0,25.0,25.0
2019-04-24 11:00:00+00:00,burning,industrial,,0.0,0.001,16.9,310.0,4.8,5.0,0.0,0.0
2019-04-26 03:00:00+00:00,burning,industrial,,0.0,0.0,49.7,112.0,3.6,5.0,3.0,3.0
2019-05-05 03:00:00+00:00,sulfur,chemical,,0.001,0.0,20.4,13.0,2.6,11.0,13.0,13.0
2019-05-07 03:00:00+00:00,burning,industrial,,0.04,0.068,9.5,214.0,4.2,126.0,57.0,57.0
2019-05-07 13:00:00+00:00,chemical,,,0.006,0.017,18.4,197.0,4.4,46.0,50.0,50.0
2019-06-08 17:00:00+00:00,smoke,trash,,0.0,0.001,22.3,76.0,8.1,11.0,0.0,0.0
2019-06-08 22:00:00+00:00,trash,,,0.0,0.002,21.1,83.0,7.8,13.0,7.0,7.0
2019-06-15 11:00:00+00:00,,,,0.007,0.023,20.1,197.0,4.1,32.0,33.0,33.0
2019-06-26 12:00:00+00:00,industrial,,,0.013,0.015,14.5,200.0,5.2,30.0,21.0,21.0
2019-06-27 11:00:00+00:00,industrial,sulfur,,0.011,0.015,34.3,210.0,2.2,58.0,27.0,27.0
2019-06-27 14:00:00+00:00,coke,gas,,0.009,0.018,24.2,189.0,3.2,41.0,34.0,34.0
2019-06-30 16:00:00+00:00,,,,0.0,0.002,41.7,316.0,5.6,9.0,-1.0,-1.0
2019-07-13 12:00:00+00:00,industrial,,,0.008,0.006,59.9,81.0,0.8,69.0,30.0,30.0
2019-07-14 15:00:00+00:00,industrial,,,0.0,0.005,30.5,342.0,3.3,13.0,20.0,20.0
2019-07-30 01:00:00+00:00,sulfur,,,0.003,0.007,18.4,206.0,3.3,31.0,22.0,22.0
2019-08-09 20:00:00+00:00,tar,,,0.0,0.0,36.9,291.0,6.9,8.0,6.0,6.0
2019-08-19 12:00:00+00:00,tar,burning,industrial,0.001,0.005,16.4,246.0,3.6,18.0,8.0,8.0
2019-08-20 02:00:00+00:00,chemical,,,0.0,0.002,12.1,335.0,2.2,15.0,8.0,8.0
2019-09-04 00:00:00+00:00,,,,0.002,0.004,23.8,208.0,2.5,18.0,9.0,9.0
2019-09-10 18:00:00+00:00,,,,0.0,0.001,25.2,190.0,5.4,12.0,11.0,11.0
2019-09-15 04:00:00+00:00,smoke,industrial,,0.005,0.005,39.3,210.0,1.5,39.0,17.0,17.0
2019-09-23 03:00:00+00:00,industrial,,,0.015,0.032,9.0,199.0,3.1,85.0,46.0,46.0
2019-09-24 13:00:00+00:00,tar,,,0.0,0.001,15.7,244.0,4.3,11.0,8.0,8.0
2019-09-30 16:00:00+00:00,coke,industrial,,0.002,0.006,19.8,194.0,5.6,22.0,18.0,18.0
2019-10-03 13:00:00+00:00,industrial,,,0.0,0.001,15.6,185.0,3.8,18.0,13.0,13.0
2019-10-07 04:00:00+00:00,,,,0.0,0.001,64.4,75.0,0.7,10.0,8.0,8.0
2019-10-12 15:00:00+00:00,,,,0.0,0.0,20.0,264.0,7.0,0.0,0.0,0.0
2019-10-25 15:00:00+00:00,chemical,,,0.007,0.004,42.3,43.0,1.2,-1.0,29.0,29.0
2019-10-29 15:00:00+00:00,sulfur,,,0.022,0.031,19.2,197.0,4.4,66.0,32.0,32.0
2019-12-09 15:00:00+00:00,egg,sulfur,,0.001,0.0,24.1,177.0,5.3,9.0,8.0,8.0
2019-12-22 13:00:00+00:00,burning,industrial,,0.015,0.027,38.9,171.0,2.2,83.0,80.0,80.0
2019-12-24 17:00:00+00:00,egg,industrial,,0.001,0.002,19.0,20.0,4.4,11.0,27.0,27.0
