DateTime,smell_1,smell_2,smell_3,3.feed_11067.CO_PPB..3.feed_43.CO_PPB,3.feed_11067.NO2_PPB..3.feed_43.NO2_PPB,3.feed_11067.NOX_PPB..3.feed_43.NOX_PPB,3.feed_11067.NO_PPB..3.feed_43.NO_PPB,3.feed_11067.PM25T_UG_M3..3.feed_43.PM25T_UG_M3,3.feed_11067.SIGTHETA_DEG..3.feed_43.SIGTHETA_DEG,3.feed_11067.SONICWD_DEG..3.feed_43.SONICWD_DEG,3.feed_11067.SONICWS_MPH..3.feed_43.SONICWS_MPH,3.feed_5975.PM2_5
2016-11-02 10:00:00+00:00,industrial,,,385.4,11.5,15.0,3.5,25.0,37.2,172.0,1.7,25.0
2016-11-02 12:00:00+00:00,sulfur,,,330.3,11.8,12.6,0.7,23.0,21.8,180.0,2.3,23.0
2016-11-08 14:00:00+00:00,industrial,,,446.8,20.7,41.5,20.7,16.0,37.9,178.0,2.5,16.0
2016-11-08 15:00:00+00:00,egg,,,477.3,22.9,46.6,23.7,20.0,18.3,188.0,3.5,20.0
2016-11-17 14:00:00+00:00,tar,coal,,1651.6,19.7,87.5,67.8,20.0,50.8,194.0,1.1,20.0
2016-11-17 15:00:00+00:00,egg,,,1833.2,19.3,80.9,61.5,30.0,28.2,208.0,1.3,30.0
2016-11-19 14:00:00+00:00,,,,792.7,22.6,25.5,2.9,16.0,19.4,194.0,5.5,16.0
2016-11-29 01:00:00+00:00,industrial,,,322.2,8.8,10.8,2.0,12.0,43.1,134.0,2.7,12.0
2016-11-30 02:00:00+00:00,sulfur,,,673.0,15.9,18.9,3.0,13.0,30.0,122.0,1.0,13.0
2016-11-30 21:00:00+00:00,egg,,,173.2,8.7,9.3,0.6,5.0,17.0,203.0,4.0,5.0
2016-12-03 12:00:00+00:00,,,,316.3,9.0,12.5,3.5,2.0,34.1,288.0,4.6,2.0
2016-12-17 21:00:00+00:00,sulfur,,,1325.5,26.7,38.9,12.2,31.0,22.1,210.0,6.7,31.0
2016-12-17 21:00:00+00:00,sulfur,,,1325.5,26.7,38.9,12.2,31.0,22.1,210.0,6.7,31.0
2016-12-17 23:00:00+00:00,chemical,,,992.2,26.7,36.5,9.8,37.0,21.5,185.0,5.0,37.0
2016-12-20 14:00:00+00:00,egg,sulfur,,1477.5,22.5,57.3,34.7,23.0,24.5,142.0,1.5,23.0
2016-12-27 00:00:00+00:00,sulfur,,,551.4,15.5,16.0,0.5,14.0,18.9,193.0,6.6,14.0
2017-01-10 23:00:00+00:00,sulfur,,,477.5,10.7,11.0,0.3,12.0,21.8,196.0,9.8,12.0
2017-01-11 15:00:00+00:00,sewage,,,301.4,18.2,23.0,4.8,7.0,21.5,186.0,2.9,7.0
2017-01-17 03:00:00+00:00,,,,452.9,18.7,27.8,9.0,15.0,19.7,100.0,0.9,15.0
2017-01-17 16:00:00+00:00,,,,232.7,12.2,14.5,2.2,17.0,18.0,198.0,6.8,17.0
2017-01-19 20:00:00+00:00,,,,514.6,12.4,19.7,7.3,16.0,41.1,189.0,3.2,16.0
2017-01-21 15:00:00+00:00,,,,314.8,10.8,18.0,7.2,12.0,23.6,142.0,1.8,12.0
2017-01-25 23:00:00+00:00,tar,sulfur,,406.2,12.0,12.4,0.4,3.0,23.8,179.0,4.3,3.0
2017-02-02 16:00:00+00:00,sulfur,,,347.8,9.0,18.7,9.6,15.0,29.6,280.0,7.9,15.0
2017-02-06 14:00:00+00:00,,,,687.5,24.9,39.6,14.7,14.0,14.3,207.0,3.2,14.0
2017-02-14 12:00:00+00:00,egg,industrial,,743.8,31.9,41.3,9.4,20.0,12.1,191.0,4.8,20.0
2017-02-14 13:00:00+00:00,sulfur,,,604.3,32.2,43.2,10.9,16.0,11.7,195.0,4.8,16.0
2017-02-17 15:00:00+00:00,sulfur,,,801.6,19.1,33.4,14.3,21.0,25.5,193.0,2.9,21.0
2017-02-17 17:00:00+00:00,sulfur,,,748.9,18.5,36.9,18.3,29.0,55.8,201.0,2.8,29.0
2017-02-18 05:00:00+00:00,sulfur,,,1552.4,38.1,43.1,4.9,27.0,17.6,189.0,4.0,27.0
2017-02-18 11:00:00+00:00,industrial,,,839.9,26.7,27.6,0.9,18.0,17.4,189.0,6.1,18.0
2017-02-22 02:00:00+00:00,egg,industrial,,460.0,19.1,20.1,1.0,18.0,25.6,169.0,1.6,18.0
2017-02-22 12:00:00+00:00,industrial,,,563.0,21.0,21.8,0.7,13.0,18.7,152.0,1.6,13.0
2017-02-22 15:00:00+00:00,sulfur,,,1967.7,34.4,49.2,14.7,53.0,15.4,195.0,4.0,53.0
2017-02-27 04:00:00+00:00,chemical,,,169.4,11.4,11.8,0.3,7.0,12.0,201.0,5.9,7.0
2017-02-27 12:00:00+00:00,industrial,,,821.0,27.9,29.4,1.4,22.0,18.6,191.0,3.2,22.0
