DateTime,smell_description,zipcode,smell_1,smell_2,smell_3
2016-10-31 23:00:00+00:00,Wood smoke,15218,smoke,,
2016-11-01 03:00:00+00:00,Industrial ,15227,industrial,,
2016-11-01 04:00:00+00:00,Industrial ,15207,industrial,,
2016-11-01 12:00:00+00:00,"Industrial, sulfur",15216,sulfur,industrial,
2016-11-01 13:00:00+00:00,Industrial ,15218,industrial,,
2016-11-01 13:00:00+00:00,Coke oven,15213,coke,,
2016-11-01 13:00:00+00:00,Tar and hydrocarbon smell ,15025,tar,,
2016-11-01 15:00:00+00:00,Industrial,15206,industrial,,
2016-11-01 15:00:00+00:00,Industrial ,15206,industrial,,
2016-11-01 16:00:00+00:00,Chemical smell. Like hair dye and rotten eggs.,15206,egg,chemical,
2016-11-01 16:00:00+00:00,Chemical smell. Like hair dye and rotten eggs.,15215,egg,chemical,
2016-11-01 17:00:00+00:00,Industrial irritant,15218,industrial,,
2016-11-01 17:00:00+00:00,Chemical,15206,chemical,,
2016-11-01 19:00:00+00:00,Acrid Air Continues To Persist.,15218,acrid,,
2016-11-02 02:00:00+00:00,Horrible sulfur smell. VERY strong.,15217,sulfur,,
2016-11-02 09:00:00+00:00,Coal / Coke,15116,coke,coal,
2016-11-02 09:00:00+00:00,"Industrial, acrid",15206,acrid,industrial,
2016-11-02 10:00:00+00:00,Acrid and foul smell ,15206,acrid,,
2016-11-02 10:00:00+00:00,Industrial like burning tire,15221,industrial,,
2016-11-02 10:00:00+00:00,"Not fresh, rotten eggs, hard it identify since it has entered house and we have normalized to it. PM inside is high. Co. Airport reports S winds all night.",15218,egg,,
2016-11-02 10:00:00+00:00,Industrial - sulfur,15219,sulfur,industrial,
2016-11-02 10:00:00+00:00,"Industrial, acrid ",15206,acrid,industrial,
2016-11-02 10:00:00+00:00,Coke oven or industrial,15213,coke,industrial,
2016-11-02 10:00:00+00:00,Industrial,15238,industrial,,
2016-11-02 10:00:00+00:00,Rotten eggs,15208,egg,,
2016-11-02 11:00:00+00:00,Industrial,15218,industrial,,
2016-11-02 11:00:00+00:00,Eggs,15217,egg,,
2016-11-02 11:00:00+00:00,Wow. As bad as I have ever smelled it. Incredibly strong coke plant smell.,15217,coke,,
2016-11-02 11:00:00+00:00,Very strong industrial smell,15144,industrial,,
2016-11-02 11:00:00+00:00,Smoke and a little rotten egg,15217,smoke,egg,
2016-11-02 11:00:00+00:00,"Industrial, the air is thick with it",15206,industrial,,
2016-11-02 11:00:00+00:00,Industrial (coal burning?),15217,burning,coal,industrial
2016-11-02 11:00:00+00:00,"Chemical, burning rubber",15217,chemical,,
2016-11-02 11:00:00+00:00,"Industrial, sulfur",15206,sulfur,industrial,
2016-11-02 11:00:00+00:00,Sulphur egg smell,15206,egg,sulfur,
2016-11-02 12:00:00+00:00,Acrid and foul smell,15206,acrid,,
2016-11-02 12:00:00+00:00,Industrial,15207,industrial,,
2016-11-02 12:00:00+00:00,industrial ,15238,industrial,,
